,cluster,latitude,longitude,wlthindf
250,251,-1.8949669999999998,30.051481,-0.20526
251,252,-1.9930290000000002,29.976325,-0.23927
252,253,-1.487486,29.629334999999998,-0.00794
253,254,-1.7922650000000002,30.482347999999998,-0.06603
254,255,-1.553064,29.788937,-0.50996
255,256,-2.09954,30.622315000000004,-0.24099
256,257,-1.638167,30.448602,-0.187745
257,258,-2.480914,28.913307,2.50211
258,259,-1.868541,30.586832,-0.24344
259,260,-1.574011,30.018136,-0.774805
260,261,-2.455755,29.429880999999998,-0.631775
261,262,-2.180477,29.423007000000002,-0.36802
262,263,-2.250716,30.811263,-0.23793
263,264,-1.936839,30.035471,2.350095
264,265,-1.972804,29.644634999999997,-0.52447
265,266,-2.444893,29.584107,-0.55144
266,267,-2.2105099999999998,29.836159999999996,-0.42073000000000005
267,268,-2.0367669999999998,29.975852000000003,-0.37288
268,269,-2.497832,29.743853,-0.59495
269,270,-2.5784380000000002,29.772664000000002,-0.40327
270,271,-2.1073060000000003,29.974035999999998,-0.35731
271,272,-2.414607,28.954867,-0.580585
272,273,-2.1164099999999997,29.534499,-0.4158
273,274,-1.5420479999999999,30.148021000000004,-0.49233
274,275,-2.2785439999999997,29.619121000000003,-0.43692
275,276,-2.006624,30.179610999999998,0.01353
276,277,-2.489807,29.62554,-0.543945
277,278,-2.5239540000000003,29.789264000000003,-0.498905
278,279,-1.8502560000000001,29.364528999999997,-0.35218
279,280,-2.3575779999999997,29.034794,-0.39716
280,281,-2.387753,29.141640999999996,-0.332315
281,282,-1.4074659999999999,29.717139000000003,-0.43422000000000005
282,283,-2.066574,30.510362,-0.22707
283,284,-2.0759950000000003,29.439541,-0.33247
284,285,-1.920057,29.453208,-0.50067
285,286,-2.316523,30.576135999999998,-0.39013
286,287,-1.967409,29.404675,-0.32089500000000004
287,288,-1.569436,29.702884,-0.431485
288,289,-1.8258450000000002,30.143684000000004,-0.35488
289,290,-1.879629,30.342756,-0.338035
290,291,-2.438728,28.903892,-0.429205
291,292,-2.2176139999999998,29.610967,-0.36339
292,293,-1.525719,29.831876,0.70122
293,294,-1.8953650000000002,30.485651,-0.03547
294,295,-2.3237759999999996,29.185491,-0.5322100000000001
295,296,-2.291395,29.163521999999997,-0.538205
296,297,-1.995232,30.200460999999997,0.959605
297,298,-2.179344,30.620858000000002,-0.16349999999999998
298,299,-1.9937369999999999,30.511028000000003,-0.37711
299,300,-1.3195350000000001,30.218335999999997,-0.3192
300,301,-1.81395,29.842709999999997,-0.24662
301,302,-1.72681,29.303076,0.302255
302,303,-1.9514770000000001,30.05303,2.3196700000000003
303,304,-1.756264,29.970729,-0.44288
304,305,-2.0385590000000002,30.365968,-0.291075
305,306,-1.817948,29.590006,-0.47963
306,307,-1.740335,29.665066999999997,-0.46091
307,308,-1.91576,30.103002000000004,0.43183
308,309,-2.350317,29.680842,-1.05928
309,310,-1.927927,30.175814000000003,-0.154715
310,311,-2.330726,29.916746999999997,-0.42186
311,312,-1.71183,30.367697999999997,-0.43099
312,313,-1.8690939999999998,29.804758000000003,-0.17455
313,314,-1.611658,29.517243,-0.47909
314,315,-2.51733,29.758084999999998,-0.421165
315,316,-2.279316,29.478823,-0.58023
316,317,-2.684591,29.850538,-0.498405
317,318,-2.69135,29.527072999999998,-0.61488
318,319,-1.999938,29.886086,-0.39554
319,320,-2.4814,29.779928,-0.568465
320,321,-1.898147,30.04978,0.40298999999999996
321,322,-1.647931,29.487904999999998,-0.525015
322,323,-2.543066,29.454717,-0.516615
323,324,-2.404493,28.941822,-0.44002
324,325,-1.547196,30.046899,-0.32384999999999997
325,326,-1.523984,29.698213,-0.334285
326,327,-2.230972,30.83127,-0.2405
327,328,-2.376306,30.592223999999998,-0.2294
328,329,-1.920349,30.074494,2.76322
329,330,-1.477276,30.260112,-0.27322
330,331,-2.159511,29.641706,-0.39614
331,332,-1.822141,29.636262,-0.4299
332,333,-1.6319540000000001,29.806688,-0.50936
333,334,-2.035534,29.419156,-0.557035
334,335,-1.37575,29.866844,-0.45419
335,336,-2.350536,29.777254,0.57939
336,337,-2.634768,29.710052,-0.333785
337,338,-1.728407,30.328502,-0.314345
338,339,-2.593723,29.013618,-0.34575
339,340,-1.9290189999999998,29.892945,-0.34319
340,341,-1.90769,29.912656,-0.38222500000000004
341,342,-1.526269,29.624209999999998,-0.368925
342,343,-2.594646,29.523770000000003,-0.13848
343,344,-2.029782,30.246107000000002,-0.03654
344,345,-1.6579650000000001,29.451026000000002,-0.27234
345,346,-1.704489,29.8202,-0.46763
346,347,-2.3306259999999996,29.456503,-0.59597
347,348,-2.573236,28.933981,-0.56284
348,349,-2.1244169999999998,30.304729,-0.44
349,350,-1.489671,29.923060999999997,-0.277315
350,351,-1.610184,29.4579,0.067665
351,352,-2.800865,29.579655,-0.6461049999999999
352,353,-2.345122,29.637055,-0.45334
353,354,-2.2021490000000004,30.139568,-0.111515
354,355,-1.963772,30.032884999999997,0.4399
355,356,-1.817924,29.518657,-0.54481
356,357,-2.54094,29.053524,-0.51741
357,358,-2.353186,29.828331,-0.50881
358,359,-2.0528869999999997,29.426793,-0.44019
359,360,-2.5629470000000003,29.057529,-0.54981
360,361,-1.696857,29.948877000000003,-0.32879
361,362,-2.356264,29.396760999999998,-0.565795
362,363,-2.138187,30.441903999999997,-0.318705
363,364,-1.9548860000000001,30.366391999999998,-0.16721
364,365,-2.054273,29.762235999999998,-1.0489350000000002
365,366,-1.922246,29.821521999999998,-0.328025
366,367,-2.38806,29.258739000000002,-0.38121
367,368,-1.986546,30.144485999999997,0.73583
368,369,-1.805389,29.375352000000003,-0.3549
369,370,-2.134998,30.477437,-0.30396
370,371,-1.6683759999999999,29.902769,-0.441275
371,372,-1.935941,30.687219,-0.4404
372,373,-1.9809130000000001,30.183944,1.0624149999999999
373,374,-1.843207,29.783921000000003,-0.44755500000000004
374,375,-2.003313,30.043978999999997,0.92205
375,376,-2.450605,29.957955,-0.432935
376,377,-1.6578130000000002,29.557036,-0.394385
377,378,-1.657729,29.481978,-0.21552
378,379,-1.7996020000000001,30.358161,-0.46643999999999997
379,380,-1.992058,30.324192,-0.10305
380,381,-1.9215209999999998,30.0644,2.55636
381,382,-2.198356,29.948676000000003,-0.398665
382,383,-1.9833049999999999,30.027390999999998,4.46392
383,384,-1.728739,29.350226,-0.54512
384,385,-2.1980630000000003,30.500769000000002,-0.5038400000000001
385,386,-2.792961,29.418104999999997,-0.65856
386,387,-1.816872,30.410905,-0.208475
387,388,-2.731362,29.780690999999997,-0.34955
388,389,-2.6816009999999997,29.740053000000003,-0.6504049999999999
389,390,-1.9761220000000002,30.094821000000003,2.356715
390,391,-1.5704209999999998,29.443609999999996,-0.33182999999999996
391,392,-1.733422,29.595184000000003,-0.398055
392,393,-2.598745,29.716773,0.82452
393,394,-2.075481,29.740522,1.354425
394,395,-1.4444709999999998,29.509371999999995,-0.39188
395,396,-2.1424090000000002,30.096496999999996,-0.322915
396,397,-2.465316,29.467918,-0.5965
397,398,-1.928739,29.743956,-0.3239
398,399,-1.2750190000000001,30.381223,0.01482
399,400,-1.948766,29.797733,-0.347
400,401,-1.970013,30.037682,1.40751
401,402,-1.9565080000000001,30.047549,1.59583
402,403,-1.655143,29.684502000000002,-0.46382
403,404,-2.5398959999999997,29.032055,-0.49018
404,405,-1.386951,29.833824,-0.53891
405,406,-2.695023,29.002654999999997,-0.325885
406,407,-1.97753,29.570432,-0.52488
407,408,-2.552635,29.096090999999998,-0.503285
408,409,-2.005244,29.770131,-0.35113
409,410,-1.805823,30.046599,-0.420465
410,411,-1.993914,30.064322999999998,2.154725
411,412,-1.9485290000000002,30.375445000000003,-0.32582
412,413,-1.528342,29.603571000000002,-0.49692000000000003
413,414,-2.1345,30.32137,-0.42301999999999995
414,415,-1.886756,29.879609000000002,-0.290605
415,416,-1.3980270000000001,29.694173,-0.447635
416,417,-1.945,30.048865000000003,2.0418000000000003
417,418,-1.761856,29.338515,-0.466925
418,419,-1.944706,30.063278999999998,2.475315
419,420,-2.057154,30.045359,-0.39845
420,421,-2.1362389999999998,30.664806,-0.482365
421,422,-1.8843189999999999,29.559903000000002,-0.5611349999999999
422,423,-1.703399,29.256782,1.6099700000000001
423,424,-1.940063,30.091425,2.8979350000000004
424,425,-2.365815,29.939349,-0.38999
425,426,-1.48276,29.779362,-0.19768
426,427,-1.7720939999999998,29.521851,1.17187
427,428,-2.578385,29.860149,-0.53615
428,429,-2.280823,29.698357,-0.402295
429,430,-1.7983740000000001,29.278809000000003,-0.6273599999999999
430,431,-1.7619200000000002,29.91315,-0.30591999999999997
431,432,-2.223684,29.553908000000003,-0.407585
432,433,-1.7848529999999998,30.496993,-0.28935500000000003
433,434,-2.113522,29.758143,-0.97256
434,435,-1.671156,29.948958,-0.44131
435,436,-2.242963,30.112396,-0.415155
436,437,-2.296489,30.015235999999998,-0.19954
437,438,-1.520894,29.663134999999997,-0.206655
438,439,-1.9461220000000001,30.423228,-0.44176
439,440,-2.015934,29.914014,-0.43531
440,441,-1.616108,29.882842999999998,-0.20395000000000002
441,442,-1.815346,29.320771999999998,-0.55741
442,443,-1.962997,30.118024,2.7150350000000003
443,444,-1.5921299999999998,29.472792,-0.230185
444,445,-1.633816,29.767421000000002,-0.494455
445,446,-2.2564040000000003,29.686877000000003,-0.33651
446,447,-1.433624,29.62412,-0.25624
447,448,-1.607969,29.949778000000002,-0.48465
448,449,-1.784873,29.609928999999998,-0.475155
449,450,-1.597075,29.375018,-0.409035
450,451,-2.237258,29.1907,-0.460565
451,452,-1.920579,29.37916,-0.17944
452,453,-1.6491060000000002,30.070285,-0.27361
453,454,-1.536608,30.248538,-0.330225
454,455,-2.39019,28.981013,-0.36557
455,456,-1.786748,29.94159,-0.29715
456,457,-1.64012,29.920405,-0.4232
457,458,-2.129858,30.232129999999998,-0.308775
458,459,-1.9514220000000002,30.266766999999998,-0.024985
459,460,-1.9621380000000002,30.037815999999996,1.7806950000000001
460,461,-1.975932,30.041413000000002,2.547345
461,462,-2.682618,29.812279999999998,-0.522915
462,463,-2.1873080000000003,29.392258,-0.40975
463,464,-1.853775,30.05054,-0.316415
464,465,-2.075093,29.587153999999998,-0.50576
465,466,-1.9640669999999998,30.606440000000003,-0.10028000000000001
466,467,-2.203129,30.51851,0.12371
467,468,-2.433123,29.547915999999997,-0.572355
468,469,-1.658179,29.337823999999998,-0.42667
469,470,-2.709279,29.546921,-0.45228
470,471,-2.461804,29.641229,-0.602765
471,472,-2.09527,30.738608000000003,-0.07872
472,473,-2.425081,29.842916,-0.18023499999999998
473,474,-2.0269049999999997,29.801989000000003,-0.519535
474,475,-1.584633,29.745352,-0.413445
475,476,-1.430599,29.67574,-0.44463
476,477,-1.95007,30.141161999999998,-0.04091
477,478,-2.3127880000000003,30.080021999999996,-0.39664
478,479,-2.599329,29.842978000000002,-0.649635
479,480,-1.467539,29.608849,-0.41096
480,481,-1.979686,30.140415,2.432185
481,482,-1.744176,30.366519,-0.25738
482,483,-1.643778,30.307225,-0.36955499999999997
483,484,-1.688078,30.291257,-0.5654950000000001
484,485,-2.343529,30.699,-0.29723
485,486,-2.336048,30.288210999999997,-0.14447
486,487,-2.084839,29.405355,-0.38767
487,488,-2.3897779999999997,29.451721999999997,-0.52431
488,489,-2.144317,30.348895000000002,-0.388025
489,490,-1.96783,30.441540999999997,0.32809
490,491,-1.441294,30.063765000000004,-0.27855
491,492,-2.0196240000000003,29.694921,-0.31016
